Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Heel; Blister on :,lam.,
Homeosetu Clinical Repertory; Boericke; Heel; Pain in : ,"am-c., am-m., ant-c., arist-m., berb., bor., calc-caust., chel., cycl., lyc., puls., sep., tart-ac., thuj., valer.",
Homeosetu Clinical Repertory; Boericke; Heel; Sensitive : ,jatr.,
Homeosetu Clinical Repertory; Boericke; Helminthiasis : ,arec.,
Homeosetu Clinical Repertory; Boericke; Hemicrania : ,"arg-n., ars., cist., mate., zing.",
Homeosetu Clinical Repertory; Boericke; Hemiopia : ,titan.,
Homeosetu Clinical Repertory; Boericke; Hemiplegia :,"Both-l., chen-a., olnd., Xan.",
Homeosetu Clinical Repertory; Boericke; Hemiplegia; Right :,chen-a.,
Homeosetu Clinical Repertory; Boericke; Hepatitis :,"corn., diosm., hep., kali-chl., lyc., nat-s., nit-m-ac., phos.",
Homeosetu Clinical Repertory; Boericke; Hernia : ,"am-c., calc., cocc., Gran., iris-fa., lyc., mag-m., mill., nux-v., op., picro., plb., sul-ac., tab., thea., verat.",
Homeosetu Clinical Repertory; Boericke; Hernia; Incarcerated : ,"mill., op., tab.",
Homeosetu Clinical Repertory; Boericke; Hernia; Strangulated : ,"nux-v., plb.",
Homeosetu Clinical Repertory; Boericke; Hernia; Umbilical : ,"calc., gran., nux-v.",
Homeosetu Clinical Repertory; Boericke; Herpes : ,"aeth., aethi-m., agar., aln., anan., anthro., arn., ars-br., aster., bor., bov., calc-s., caps., Carbn-o., Carb-s., chr-s., chrysar., cist., croto-t., dol., dulc., eucal., graph., grin., gunp., hep., hyper., iris., kreos., lyc., menth., morph., nat-s., olnd., petr., ph-ac., prun., psor., ran-b., rhus-t., rob., sal-ac., sars., semp., Sep., sulph., tell., thuj., upa., urt-u.",
Homeosetu Clinical Repertory; Boericke; Herpes; Circinatus : ,"hep., sep., tell.",
Homeosetu Clinical Repertory; Boericke; Herpes; Facialis : ,gunp.,
Homeosetu Clinical Repertory; Boericke; Herpes; Preputialis : ,"chr-s., ph-ac.",
Homeosetu Clinical Repertory; Boericke; Herpes; Zoster : ,"aeth., aethi-m., agar., aln., anan., anthro., arn., ars-br., aster., bor., bov., calc-s., caps., Carbn-o., Carb-s., chr-s., chrysar., cist., croto-t., dol., dulc., eucal., graph., Grin., gunp., hep., hyper., iris., kreos., lyc., menth., morph., nat-s., olnd., petr., ph-ac., prun., psor., ran-b., rhus-t., rob., sal-ac., sars., semp., sep., sulph., tell., thuj., upa., urt-u.",
Homeosetu Clinical Repertory; Boericke; Hiccough : ,"agar., aml-n., bar-c., bell., caj., calc-f., carl., chin., chin-s., cic., cinnam., cocc., cocci-s., cupr., Cycl., dios., eup-per., fil., gels., gins., hyos., ign., ip., jatr., kali-br., lyc., mag-p., merc., merc-cy., morph., mosch., nicc., nux-m., ran-b., rat., rumx., scut., sel., spong., stront-c., sul-ac., tab., teucr., verat., verat-v., vib-p., wye., zinc., zinc-val.",
"Homeosetu Clinical Repertory; Boericke; Hip; Left, pain in : ","bell., caust., erig., ovi-g-p., stram.",
Homeosetu Clinical Repertory; Boericke; Hip; Pain in : ,"all-s., bapt., bell., carb-an., caust., cham., chel., coloc., form., kali-i., kreos., laur., mag-m., mez., nit-ac., nux-m., ovi-g-p., polyg., sin-n., stram.",
Homeosetu Clinical Repertory; Boericke; Hoarseness : ,"acet-ac., acon., ail., all-c., alum., am-c., am-m., ambr., ampe-qu., ant-t., apis., arg., arg-n., arn., ars-i., arum-d., arum-t., asim., bell., benz-ac., berb., bor., Brom., bry., calc., calc-f., calc-p., calen., caps., carb-v., caust., cham., chel., coca., coch., coll., cub., Dros., dubin., dulc., eup-per., ferr., ferr-i., ferr-p., form., graph., hep., hepat., hippoz., iod., ip., irid., just., kali-bi., kali-c., kali-m., kali-n., kali-s., kreos., lycpr., mag-m., mang., med., meph., merc-cy., nat-s., nat-sel., nicc., nicc-s., nit-ac., nux-v., ol-j., op., osm., ox-ac., par., pen., petr., ph-ac., phos., physal., pop-c., puls., rhus-t., samb., sanguin-n., sel., senec., seneg., spong., stann., still., sulo-ac., tab., tell., trif-p., verat., verb., viol-o., wye., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Hodgkin's disease :,"acon-l., scroph-n.",
Homeosetu Clinical Repertory; Boericke; Home-sickness :,"caps., cent., eup-pur.",
Homeosetu Clinical Repertory; Boericke; Housemaid's knee : ,"slag., stict.",
Homeosetu Clinical Repertory; Boericke; Hydraemia : ,"nat-m., nat-n.",
Homeosetu Clinical Repertory; Boericke; Hydroa :,"conv., kali-i., rhus-t.",
Homeosetu Clinical Repertory; Boericke; Hydrocele :,"abrot., Ampe-qu., aur., calc-f., chel., dig., iod., rhod., sel., sil.",
Homeosetu Clinical Repertory; Boericke; Hydrocephaloid :,,
Homeosetu Clinical Repertory; Boericke; Hydrocephalus : ,"apoc., cypr., cyt-l., hed., hell., Oeno., zinc., zinc-br.",
Homeosetu Clinical Repertory; Boericke; Hydrocephalus; Chronic : ,hed.,
Homeosetu Clinical Repertory; Boericke; Hydrogenoid constitution :,"aran., calc-sil., nat-s., nit-ac., thuj.",
Homeosetu Clinical Repertory; Boericke; Hydrophobia : ,"aconin., agav-a., anag., canth., cocci-s., fili-v., mand., xanth.",
Homeosetu Clinical Repertory; Boericke; Hydrothorax : ,"abrot., adon., apis., apoc., aspar., fl-ac., hell., kali-c., kali-i., lact., merc-s., ran-b., seneg.",
Homeosetu Clinical Repertory; Boericke; Hyperaemia : ,"acon., aml-n., antipyrin., benz-n., card-m., chlol., dirc., dubin., fago., ferr-p., glon., grin., juni-c., juni-v., tab., yohim.",
Homeosetu Clinical Repertory; Boericke; Hyperaesthesia : ,"aur., bell., chrysan., chrysar., cypr., ign., lil-t., morph., nux-v., ox-ac., phos-h., plb., ther., valer.",
Homeosetu Clinical Repertory; Boericke; Hyperchlorhydria :,"acet-ac., calc., chin-ar., grin., rob.",
Homeosetu Clinical Repertory; Boericke; Hypersensitiveness : ,"Coff., ferr-cy., hep., kali-c., lyss., nux-v., plat., plb.",
Homeosetu Clinical Repertory; Boericke; Hypertrophy : ,"alf., arn., ars-i., aur., bar-c., bar-m., bell., brom., calc-f., calen., cean., cere-b., chr-s., conv., Dig., ferr-pic., hell-f., hydrc., iber., kali-i., lina., merc-d., morph., naja., ol-an., pic-ac., rhus-t., sabal., sanguin-n., spong., stry-ar., stry-p., sul-i., ust., visc.",
Homeosetu Clinical Repertory; Boericke; Hypochondriasis :,"aloe., anac., asaf., bold., con., grat., lath., mosch., nux-v., polym., staph., sumb., zinc., zinc-s., ziz.",
Homeosetu Clinical Repertory; Boericke; Hypopion : ,hep.,
Homeosetu Clinical Repertory; Boericke; Hysteria : ,"anh., aquil., aster., camph-br., cast., croc., diosm., eup-a., ictod., ign., indg., joan., kali-p., mosch., nast., nep., nepet., orig., passi., raph., salx-n., stry-p., tarent., valer., vanad., viol-o., zinc-cy., zinc-val., ziz.",
Homeosetu Clinical Repertory; Boericke; Hysterical; Colic :,nepet.,
Homeosetu Clinical Repertory; Boericke; Hysterical; Joints : ,"cot., hyper.",
Homeosetu Clinical Repertory; Boericke; Hysterical; Vomiting : ,ign.,
Homeosetu Clinical Repertory; Boericke; Hystero-epilepsy : ,"dubin-s., sol-c.",
Homeosetu Clinical Repertory; Boericke; Ichthyosis : ,"ars-i., oena., pip-m., platan., sep., syph., thyr.",
Homeosetu Clinical Repertory; Boericke; Idiocy : ,aeth.,
Homeosetu Clinical Repertory; Boericke; Impetigo :,"arum-t., calc-m., cic., ferr-ar., ferr-i., Viol-t.",
Homeosetu Clinical Repertory; Boericke; Impotence :,"agn., ant-c., arg-n., bar-c., Bufo., calad., caps., Carb-s., cob., coca., dam., eup-pur., hyos., kali-br., lact., lec., lyc., med., morph., mosch., nat-m., nuph., onos., scut., sel., trib., uran-n., yohim.",
Homeosetu Clinical Repertory; Boericke; Inactivity : ,"alf., alum., anac., dulc., lyc., mand., verat.",
Homeosetu Clinical Repertory; Boericke; Indian continued fever : ,"Eucal., nat-m.",
Homeosetu Clinical Repertory; Boericke; Indigestion :,"abrot., alf., Aln., calc-f., carc., cic., corn-f., ferr-pic., kali-m., mag-m., mag-p., pancreat., pep., pop., rham-p., vac., xan.",
Homeosetu Clinical Repertory; Boericke; Indurations : ,"Alumn., anan., anthr., ars-br., ars-i., aster., aur., aur-m., aur-m-k., bar-c., bar-i., bar-m., bell., berb-a., brom., bufo., calc-f., carb-an., carc., chin., cist., clem., con., cund., dig., dulc., eug., graph., hecla., hydrc., iod., kali-cy., kali-i., lach., lap-a., lyc., merc., merc-i-f., nat-c., oper., orni., phyt., plb., plb-i., rhod., sars., semp., sil., spong., tarax., thuj., vesp., zinc.",
Homeosetu Clinical Repertory; Boericke; Infantile; Paralysis :,"chr-s., lath., plb.",
Homeosetu Clinical Repertory; Boericke; Inflammation :,"abr., absin., acon., ail., alum., alumn., am-m., anan., anemps., ant-ar., ant-c., anthr., Apis., arg-n., ars., arum-i., arum-t., asaf., asc-c., aur., bapt., bar-c., bell., berb., bism., bor., cact., caj., calad., calc., calc-acet., calc-ar., calc-br., calc-f., calc-pic., calc-s., camph-br., cann-s., canth., caps., caust., cham., chim., chr-s., chrysar., cist., clem., coc-c., cocc., coch., colch., con., cop., crot-h., croto-t., cyt-l., dor., echi., eucal., eup-per., euph., euph-l., euphr., fago., Ferr-p., fil., fl-ac., form-ac., frax., gaul., gels., glech., graph., guare., ham., hedy., hep., hip-ac., hydrc., hyos., ichth., ign., ilx-a., ingluv., iod., ip., irid., jab., jac-c., jeqol., juni-c., kali-bi., kali-i., kali-m., kali-n., kali-s., lach., lath., linu-u., lup., lyc., mag-s., mang., mel-c-s., meli., menth., merc., merc-acet., merc-c., merc-d., merc-i-f., mez., myris., naphtin., nat-m., nat-n., nat-p., nat-s., nepet., par., pareir., petr., ph-ac., phos., phyt., pic-ac., pip-n., plan., plb., plb-i., puls., pyrog., rham-cal., rhod., rhus-t., rhus-v., ric., rumx-ac., sabad., sabin., scol., scroph-n., senec., seneg., senn., sep., sil-mar., sin-n., spig., spira., staph., stel., stict., succ-ac., sulo-ac., symph., syph., tarent-c., tell., ter., terebe., thuj., thyr., til., trad., tub-a., upa., uran-n., uva., vac., vario., verb., vesp., vip., xero., yohim., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Influenza : ,"abrot., acon., adon., aml-n., ant-ar., arn., ars-i., ars-s-r., bad., bapt., bar-m., calc-caust., camph., canch., capp., carb-ac., card-m., chin., cupr-ar., erio., ery-a., Eucal., eup-per., euphr., gels., glyc., iber., iod., kreos., lath., lob-p., lob-s., Lycpr., nat-n., nat-sal., pix., pyrog., ran-g., rhus-t., sal-ac., sang., sanguin-n., sarcol-ac., sars., scut., silphu., stann., stict., stry., trio., tub-a.",
Homeosetu Clinical Repertory; Boericke; Influenza; Headache of :,camph.,
Homeosetu Clinical Repertory; Boericke; Inframammary pain :,cimic.,
Homeosetu Clinical Repertory; Boericke; Ingrowing toe-nails :,"m-aust., sil., x-ray.",
Homeosetu Clinical Repertory; Boericke; Injuries : ,"agar., all-c., Arn., bell-p., bor., bufo., calen., caust., cimic., echi., euphr., graph., hep., Hyper., led., naja., nat-s., phys., pyrog., rhus-t., ruta., sil., sul-ac., sulph., symph.",
Homeosetu Clinical Repertory; Boericke; Injuries; Effects of : ,sul-ac.,
Homeosetu Clinical Repertory; Boericke; Insanity : ,"anh., antipyrin., cann-i., Dubin-s., lach., manc., med., naja., nat-sal., phos., pyrog., syph., tarent., zinc-val.",
Homeosetu Clinical Repertory; Boericke; Insomnia :,"acon., alf., Am-val., anh., apom., calc-br., camph., cann-i., chlol., chol., chrysan., coca., cocain., con., crat., diosm., dip., gels., grat., hyosin., ign., lec., lith-br., myric., passi., physal., pisc., plan., raph., sec., sulfon., sumb., tab., thuj., trinit., trion., tub., verbe-h., xan.",
Homeosetu Clinical Repertory; Boericke; Intermenstrual flow :,magn-gr.,
Homeosetu Clinical Repertory; Boericke; Intermittent fever :,"Abies-n., ant-c., ant-t., ars., baj., bol., cact., calli., canch., cent., ceph., chin., cimx., corn-f., gent-q., helia., ilx-a., ip., kali-s., lach., meny., nat-m., nit-ac., ost., phlor., polyg-a., polyp-p., rhus-t., sed-ac., verbe-h.",
Homeosetu Clinical Repertory; Boericke; Intertrigo :,"caust., Petr.",
Homeosetu Clinical Repertory; Boericke; Intestinal; Catarrh :,"colchin., coto., Eucal., fel., zing.",
Homeosetu Clinical Repertory; Boericke; Intestinal; Hemorrhage :,"ango., crot-h., yohim.",
Homeosetu Clinical Repertory; Boericke; Intestines; Obstruction of :,bell.,
Homeosetu Clinical Repertory; Boericke; Intestines; Ulceration of :,"kali-bi., podo.",
Homeosetu Clinical Repertory; Boericke; Intoxication :,"agar., Anh., aq-mar., arg., bapt., bufo., erio., eug., hyos., naja., nux-v., op., oxyt., petr., pip-m., ruta., ser-ang., tong., urea., valer.",
Homeosetu Clinical Repertory; Boericke; Intussusception :,"cupr., plb.",
Homeosetu Clinical Repertory; Boericke; Iritis : ,"Asaf., cedr., clem., euphr., form., grin., hep., kali-bi., kali-i., kalm., merc., merc-c., nit-ac., phys., rhus-t., sabal., sil., staph., syph., thuj.",
Homeosetu Clinical Repertory; Boericke; Iritis; Rheumatic :,"euphr., form., kalm.",
Homeosetu Clinical Repertory; Boericke; Iritis; Syphilitic :,"asaf., kali-i., merc-c., nit-ac., staph.",
Homeosetu Clinical Repertory; Boericke; Irritability : ,"abies-c., abrot., acet-ac., aesc., aeth., alf., alth., alum., am-br., anac., ant-c., apoc., ars., ars-i., asaf., asim., bac., bar-c., baros., bry., calc., calc-br., calc-sil., camph., cann-i., canthin., carb-ac., Carb-s., cast., cere-s., cham., chin-ar., chrysan., cimic., cina., coca., coff., colch., coloc., conv., crat., dig., equis., ery-a., euon-a., eup-pur., euphr., eupi., fago., ferr., ferr-cy., gamb., gaul., glon., guai., helon., hydrobr-ac., iber., ichth., ictod., iodof., ip., jab., joan., just., kali-c., kali-i., kali-p., kreos., leon., lon-p., lycps., mang., med., morph., mur-ac., myric., nat-h., nat-m., nit-ac., Nux-v., ol-an., oxyt., pall., pen., petr., phys., physal., phyt., prun-v., pulx., rad-br., ran-b., rham-cal., rheum., sabal., salx-n., hir-m., scut., sed-ac., sel., senec., sep., sil., skat., squil., staph., stel., stroph., sulfon., sulph., symph., tanac., tarent., thymol., thyr., torul., tritic., tub., upa., ust., vac., valer., verat., vib., wye., yuc.",
Homeosetu Clinical Repertory; Boericke; Irritation : ,"absin., acet-ac., aesc., aethi-m., aloe., alst-s., alumn., ambr., ambro., Amyg-p., anag., arist-m., ars-i., arum-i., asc-t., bals-p., berb., bism., bor., bry., calc., calc-br., calc-f., calc-sil., canth., carb-ac., cheir., chim., chlor., cimic., cina., cocc., cod., coff., crat., croto-t., dor., dros., echi., erig., eucal., euph-hy., ferr-p., fili-v., fuli., gaul., gels., glech., glyc., gnaph., gua., guare., hed., hedeom., hep., hepat., hyos., ichth., indg., insulin., ip., jab., kali-bi., kali-br., kali-ma., kali-s-chr., linu-u., lith-be., lycps., mag-s., mangi., med., menth., merc., methyl., mez., mit., naja., naphtin., nat-c., osm., oxyd., pedi-can., phos., phys., physal., pix., pop-c., prim-o., pyrus., rad-br., ran-s., raph., sac-alb., sant., saur., scut., sec., sed-ac., senec-j., sep., sil., silphu., sol-n., solid., squil., stann-i., teucr., thlaspi., trif-p., tritic., tub-a., uva., Vanad., vanil., verb., verbe-h., visc., zinc.",
Homeosetu Clinical Repertory; Boericke; Itch : ,"abrot., acal., acon., acon-l., act-sp., aeth., Agar., agn., aloe., alum., alum-sil., alumn., am-c., am-m., ambr., ambro., anac., anag., ang., ant-c., ant-s., anth., antipyrin., ap-g., apis., arg-n., arist-m., arn., ars., ars-i., ars-met., ars-s-r., Arund., asaf., asim., astac., aster., bals-p., bell-p., benz., benz-ac., berb., bism., bol., bor., bov., brach., bran., bufo., cadm-i., cadm., calad., calc., calc-f., calc-sil., calth., canth., carb-ac., carb-v., Carb-s., card-m., carl., cast-eq., caust., cedr., cench., cere-b., chel., chim., chin-s., chion., chlol., chrysar., cic., cina., cist., cit-v., clem., cob., cod., coff., colch., coll., coloc., com., con., conv., cop., croto-t., cupr., cupr-acet., cur., cycl., dig., diosm., dol., elae., elaps., eos., euph-l., Fago., ferr., ferr-i., fil., fl-ac., form., gall-ac., gamb., gels., gins., glon., goss., gran., graph., grin., gua., guano., ham., hedeom., hell., helon., hep., hip-ac., hom., hura., hydrc., hyos., hyper., ichth., ign., ind., indg., insulin., inul., iodof., iris., jac-c., jug-c., jug-r., kali-ar., kali-bi., kali-br., kali-c., kali-chl., kali-hp., kali-m., kali-n., kali-s., kreos., led., lim., lith-c., lob., lyc., lycpr., mag-c., mag-s., magn-gr., maland., manc., mang., mangi., med., mel-c-s., menis., menth., menthol., merc., merc-acet., merc-pr-r., mez., morph., mur-ac., myric., naphtin., nat-m., nat-p., nat-s., nat-sal., nicc., nux-v., oci., ol-an., olnd., onos., osm., paeon., pareir., pen., petr., petros., ph-ac., phle., phos., phyt., pin-s., pip-n., pix., plan., polyg., polyg-s., prim-o., prun., psor., puls., pulx., rad-br., ran-b., rat., rhodi., rhus-d., rhus-t., rhus-v., rumx., sabad., sabin., sac-alb., sal-ac., sang., sant., sapo., sars., scroph-n., sel., sep., sil., sin-n., slag., solid., spig., spong., staph., still., stront-c., stry., succ-ac., sul-ac., sul-i., sulfon., sulph., syzyg., tarent., tarent-c., tax., tell., ter., teucr., ther., thyr., til., torul., triat., trinit., trio., tub., tub-a., upa., urt-u., uva., valer., verat-v., veronal., vesp., vib., vinc., viol-t., visc., wye., x-ray., xero., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Itch; Suppressed :,mag-s.,
Homeosetu Clinical Repertory; Boericke; Itching :,"abrot., acal., acon., acon-l., act-sp., aeth., Agar., agn., aloe., alum., alum-sil., alumn., am-c., am-m., ambr., ambro., anac., anag., ang., ant-c., ant-s., anth., antipyrin., ap-g., apis., arg-n., arist-m., arn., ars., ars-i., ars-met., ars-s-r., Arund., asaf., asim., astac., aster., bals-p., bell-p., benz., benz-ac., berb., bism., bol., bor., bov., brach., bran., bufo., cadm-i., cadm., calad., calc., calc-f., calc-sil., calth., canth., carb-ac., carb-v., Carb-s., card-m., carl., cast-eq., caust., cedr., cench., cere-b., chel., chim., chin-s., chion., chlol., chrysar., cic., cina., cist., cit-v., clem., cob., cod., coff., colch., coll., coloc., com., con., conv., cop., croto-t., cupr., cupr-acet., cur., cycl., dig., diosm., dol., elae., elaps., eos., euph-l., Fago., ferr., ferr-i., fil., fl-ac., form., gall-ac., gamb., gels., gins., glon., goss., gran., graph., grin., gua., guano., ham., hedeom., hell., helon., hep., hip-ac., hom., hura., hydrc., hyos., hyper., ichth., ign., ind., indg., insulin., inul., iodof., iris., jac-c., jug-c., jug-r., kali-ar., kali-bi., kali-br., kali-c., kali-chl., kali-hp., kali-m., kali-n., kali-s., kreos., led., lim., lith-c., lob., lyc., lycpr., mag-c., mag-s., magn-gr., maland., manc., mang., mangi., med., mel-c-s., menis., menth., menthol., merc., merc-acet., merc-pr-r., mez., morph., mur-ac., myric., naphtin., nat-m., nat-p., nat-s., nat-sal., nicc., nux-v., oci., ol-an., olnd., onos., osm., paeon., pareir., pen., petr., petros., ph-ac., phle., phos., phyt., pin-s., pip-n., pix., plan., polyg., polyg-s., prim-o., prun., psor., puls., pulx., rad-br., ran-b., rat., rhodi., rhus-d., rhus-t., rhus-v., rumx., sabad., sabin., sac-alb., sal-ac., sang., sant., sapo., sars., scroph-n., sel., sep., sil., sin-n., slag., solid., spig., spong., staph., still., stront-c., stry., succ-ac., sul-ac., sul-i., sulfon., sulph., syzyg., tarent., tarent-c., tax., tell., ter., teucr., ther., thyr., til., torul., triat., trinit., trio., tub., tub-a., upa., urt-u., uva., valer., verat-v., veronal., vesp., vib., vinc., viol-t., visc., wye., x-ray., xero., zinc., zing.",
Homeosetu Clinical Repertory; Boericke; Itching eruptions : ,"aeth., agar., anag., ant-c., arn., ars., arund., calth., canth., cupr-acet., dol., elaps., gels., graph., hyper., jug-r., kali-bi., kali-c., kali-chl., kali-hp., kali-s., lyc., mur-ac., olnd., ran-b., rhus-t., sars., sel., sil., staph., stront-c., ter., thyr., til., zinc.",
Homeosetu Clinical Repertory; Boericke; Jaundice :,"acal., aesc., astac., card-m., chel., chelo., chin., chion., chol., cice., con., corn., crot-h., dig., dol., fab., fel., gran., hydr., iod., jug-c., kali-c., kali-chl., kali-pic., lach., lept., lina., lob., lup., mang., merc., merc-d., myric., nat-p., nat-s., nat-suc., nit-ac., nux-v., phos., plb., podo., rham-p., rumx., ruta., still., tarax., thyr., Trinit., vip.",
"Homeosetu Clinical Repertory; Boericke; Jaundice; Anaemia, of : ",trinit.,
Homeosetu Clinical Repertory; boericke; Jaw-joint; Cracking in :,"am-c., lac-c., meny., rhus-t.",
Homeosetu Clinical Repertory; Boericke; Jaw-joint; Pain in : ,"acon., act-sp., alum., amph., ang., bapt-c., caust., chrysan., kali-i., lachn., rad-br., x-ray.",
Homeosetu Clinical Repertory; Boericke; Jaws; Clenched :,"carbn-o., hydr-ac.",
Homeosetu Clinical Repertory; Boericke; Jaws; Cracking in : ,"am-c., lac-c., meny., rhus-t.",
"Homeosetu Clinical Repertory; Boericke; Jaws; Dislocation of, easy : ",rhus-t.,
Homeosetu Clinical Repertory; Boericke; Jaws; Pain in :,"acon., act-sp., alum., amph., ang., bapt-c., caust., chrysan., kali-i., lachn., rad-br., x-ray.",
Homeosetu Clinical Repertory; Boericke; Jealousy :,"apis., cocain., Hyos., lach.",
Homeosetu Clinical Repertory; Boericke; Jerkings :,"agar., alum-sil., ang., ant-c., bell., brom., bruc., caps., cham., cic., cimic., Cina., colchin., croc., cupr., daph., geum., hedeom., hyper., ign., ip., kali-br., kali-c., lon-x., lyc., meny., meph., merc-cy., morph., mygal., nat-m., op., ox-ac., phys., rhod., sep., stann., Stry., sul-ac., sulph., tarent., valer., x-ray., zinc.",
Homeosetu Clinical Repertory; Boericke; Joints; Affections of : ,"arg., teucr.",
Homeosetu Clinical Repertory; Boericke; Joints; Cracking in :,"ang., gins., kali-bi.",
Homeosetu Clinical Repertory; Boericke; Joints; Nodosities on : ,"am-p., eup-per.",
Homeosetu Clinical Repertory;  Boericke; Joints; Pain in : ,"Act-sp., aloe., ampe-qu., apoc-a., aur., bar-acet., bar-c., calc-p., carb-an., caust., cedr., cere-b., chin., cimx., coff., coloc., com., conv., dig., dros., form., Gnaph., guai., hip-ac., iod., jal., kreos., lac-ac., lappa., lil-t., magn-gr., mang., merc., ph-ac., pin-s., plumbg., rham-cal., rhus-t., sabin., salol., stict., stront-c., tann-ac., verat-v., vit.",
Homeosetu Clinical Repertory; Boericke; Joints; Stiffness of :,"ang., bar-m., caul., coloc., dios., dros., form., form-ac., mez., olnd., salol., stel., trio., verb., vip.",
Homeosetu Clinical Repertory; Boericke; Joints; Suppuration of : ,mang.,
Homeosetu Clinical Repertory; Boericke; Keratitis : ,"abr., apis., aur., calc-f., chrysar., con., kali-i., merc., merc-n., sil., sulph.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Aching in : ,"helon., ol-sant., santa.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Affections of : ,"cupr-ar., lyc.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Bright's disease of :,"adon., apoc., arge., ars., brach., kali-cit., merc-c., oxyd., phos., solid., ter., titan., zinc-pic.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Congestion of : ,"ery-a., helon., kali-bi., senec., solid.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Diseases of :,"aq-mar., ars., liatr., oci., ter.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Disorders of :,ipom.,
Homeosetu Clinical Repertory; Boericke; Kidneys; Inflammation of : ,"apis., berb., canth., crot-h., eucal., juni-c., pic-ac., Ter.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Neuralgia of : ,ars.,
Homeosetu Clinical Repertory; Boericke; Kidneys; Pain in : ,"aesc., aeth., agri., alum., benz-ac., Berb., cahin., calc-p., chin., coc-c., cocci-s., coff., cur., ery-a., eup-pur., gall-ac., hedeom., ipom., lith-c., oxyt., phyt., plumbg., rumx-ob., sars., seneg., solid., ter., xanrhoe., xero.",
Homeosetu Clinical Repertory; Boericke; Kidneys; Pyelitis : ,juni-v.,
Homeosetu Clinical Repertory; Boericke; Kleptomania : ,absin.,
Homeosetu Clinical Repertory; Boericke; Knee; Coldness of : ,"benz-ac., calc., carb-v., nat-c., phos.",
Homeosetu Clinical Repertory; Boericke; Knee; Cracking in :,"caust., cocc., croc., nat-s.",
Homeosetu Clinical Repertory; Boericke; Knee; Pain : ,"act-sp., ang., arge., ars-s-f., benz-ac., bruc., bry., cann-i., caps., cere-b., chr-ac., coloc., daph., helia., jac-c., Kali-c., kalm., lappa., lepi., lob-s., mang., meli., mez., mim-h., nat-c., podo., polyp-p., rad-br., sal-ac., sarr., sil., stict., trinit., visc., xero.",
Homeosetu Clinical Repertory; Boericke; Knee; Rheumatism of :,"kali-i., mim-h.",
Homeosetu Clinical Repertory; Boericke; Knee; Weakness of : ,"aur., cob., croc., dios., iodof., lac-ac., nat-h., nat-m., sarr., torul.",
Homeosetu Clinical Repertory; Boericke; Knee; White swelling of : ,kali-c.,
Homeosetu Clinical Repertory; Boericke; Knock-knee : ,lath.,
Homeosetu Clinical Repertory; Boericke; Labia; Abscess of :,"hep., sil.",
Homeosetu Clinical Repertory; Boericke; Labia; Inflammation of :,"chim., coc-c.",
Homeosetu Clinical Repertory; Boericke; Labia; Soreness of :,eupi.,
Homeosetu Clinical Repertory; Boericke; Labor : ,"acet-ac., alet., aloe., arn., bor., Caul., caust., cham., coll., croc., cupr-acet., cycl., dict., dig., inul., kali-c., Kali-p., lach., mag-p., mom-b., op., pitu-gl., pitu-p., sac-alb., sec., sel., stram., thymol., tril.",
Homeosetu Clinical Repertory; Boericke; Labor; Constipation after :,,
Homeosetu Clinical Repertory; Boericke; Labor; Convulsions in : ,stram.,
Homeosetu Clinical Repertory; Boericke; Labor; Puerperal fever : ,"bapt., carb-ac., crot-h., pyrog., sec., verat-v.",
Homeosetu Clinical Repertory; Boericke; Lachrymal; Fistula :,"calc., fl-ac., phyt.",
"Homeosetu Clinical Repertory; Boericke; Lachrymal; Sac, suppuration of :",nat-m.,
Homeosetu Clinical Repertory; Boericke; Lachrymation : ,"aesc., all-c., am-c., ambro., ant-t., anth., antipyrin., aphis., apis., arg-n., ars., calc., cedr., chel., chim., chin., chin-ar., colch., con., diosm., eug., Euphr., iod., ip., just., kali-i., kali-n., kreos., lil-t., mag-p., merc-c., muscin., nat-ar., nat-m., nit-ac., ol-an., osm., phel., phys., phyt., prun., puls., ran-b., sabad., sanguin-n., sanic., seneg., sin-n., stront-c., succ., syph., tax., tell., teucr., ust., verat., verb., zinc.",
Homeosetu Clinical Repertory; Boericke; Lactation :,"alf., calc., calc-p., yohim.",
Homeosetu Clinical Repertory; Boericke; Landry's paralysis :,vip.,
Homeosetu Clinical Repertory; Boericke; Laryngeal; Crisis : ,sant.,
Homeosetu Clinical Repertory; Boericke; Laryngeal; Phthisis :,"dros., Nat-sel., spong.",
Homeosetu Clinical Repertory; Boericke; Laryngismus :,"aesc., am-i., ant-c., dros., ferr-p., formal., inul., iod., kali-bi., lyc., menthol., nat-sel., osm., sel., thuj.",
Homeosetu Clinical Repertory; Boericke; Laryngitis :,"aesc., am-i., ant-c., dros., ferr-p., formal., inul., iod., kali-bi., lyc., menthol., nat-sel., osm., sel., thuj.",
